algorithm,path_cost_change_percent,latency_change_percent,hops_change_percent,packet_loss_change_percent,bandwidth_change_percent,reliability_change_percent,congestion_change_percent
Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QT-APP,16.505405928208774,28.86194074389078,16.990291262135926,3.7647249443329827,1.5716505198287531,0.13677108192553789,-0.8717469462967822
QT-APP without adaptation,12.992052801905798,24.546668397274114,15.533980582524265,1.8183146156944094,3.051999811160891,0.37077927060950905,-1.515653221101715
QT-APP without tunneling,17.749785007380787,27.778763105971617,17.961165048543695,5.836469469300763,1.5267146712215196,-0.0387979890933732,-0.7519674718007417
