algorithm,path_cost_change_percent,latency_change_percent,hops_change_percent,packet_loss_change_percent,bandwidth_change_percent,reliability_change_percent,congestion_change_percent
Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QT-APP,27.478477508699356,19.458223586278525,29.2803970223325,1.058853070155765,-8.554980929401452,-0.8680854392790532,-0.2789723910053738
QT-APP without adaptation,27.77818382359074,19.62260996130968,29.776674937965264,0.7188499151171266,-8.338112270818117,-0.889238670652373,-0.24719071428095854
QT-APP without tunneling,29.115082595551183,21.142885322142348,31.017369727047146,1.0005248626916787,-6.946773314080916,-0.893755159622678,-0.013508529386491391
