seed,algorithm,timestep,regime,path_cost,latency,hops,packet_loss,bandwidth,reliability,congestion,tunneling_probability,energy,kappa
42,Dijkstra,0,Normal,0.4676745569352635,85.843273610325,2,0.12929532163711277,70.40434114940531,0.8502387360482417,0.34108894579541377,0.0,0.45,1.2
42,Dijkstra,1,Normal,0.47282210608435193,87.87684438190126,2,0.1324603998519016,69.43900555283635,0.8513766526099179,0.3544841798786953,0.0,0.45,1.2
42,Dijkstra,2,Normal,0.4785378610897909,88.70668375543374,2,0.14211823360690612,70.91575434455268,0.8578081767925417,0.36792773199700296,0.0,0.45,1.2
42,Dijkstra,3,Normal,0.4715469193178129,86.55825031700631,2,0.14084945444024854,72.45101191743636,0.8524674345830241,0.3809297129498288,0.0,0.45,1.2
42,Dijkstra,4,Normal,0.4869960461913355,87.77137940280008,2,0.13431363377477923,71.84305887591852,0.8634449906056345,0.3973304751390351,0.0,0.45,1.2
42,Dijkstra,5,Normal,0.4963423490652389,89.41269149765142,2,0.135545789271992,71.48166024541358,0.8685354608390812,0.4051545563584578,0.0,0.45,1.2
42,Dijkstra,6,Normal,0.4782948170908058,87.89164708949245,2,0.14294727181560551,70.20057403587545,0.8699248734843059,0.3652574191251908,0.0,0.45,1.2
42,Dijkstra,7,Normal,0.4729007942543599,86.78571774348578,2,0.15554259833078843,70.32755674637527,0.8745143004766134,0.3663976320457154,0.0,0.45,1.2
42,Dijkstra,8,Normal,0.44790019838986284,84.13507682635549,2,0.15685307691187822,70.86672373810823,0.8704025058605263,0.36104331002077733,0.0,0.45,1.2
42,Dijkstra,9,Normal,0.44929856158730896,83.16977366274078,2,0.15786529860590115,69.98911684411007,0.8714895954112956,0.36736726055258495,0.0,0.45,1.2
42,Dijkstra,10,Congestion,0.3894202976747596,105.4663351971012,2,0.2003601108244849,49.87439743905816,0.8366605579343572,0.49679410472463287,0.0,0.45,1.2
42,Dijkstra,11,Congestion,0.4648318342194827,133.01156593547438,2,0.25842547015756423,33.209473855115675,0.7860667131843859,0.7632526674203078,0.0,0.45,1.2
42,Dijkstra,12,Congestion,0.4964255884139519,161.52560330879447,2,0.2940953864018967,24.669161175340047,0.7448861233032613,0.9377814719761275,0.0,0.45,1.2
42,Dijkstra,13,Congestion,0.5631624463830156,209.38216418848174,2,0.3265775576632186,14.786411072474003,0.6904504071008033,1.0,0.0,0.45,1.2
42,Dijkstra,14,Congestion,0.37297478513710774,274.6500903957129,2,0.37850739942558276,8.944909908269622,0.6232855054834219,1.0,0.0,0.45,1.2
42,Dijkstra,15,Post-congestion,0.5972492320079197,281.2603946100513,2,0.3767701243908851,8.900668539296777,0.6140427149748905,0.993740849911689,0.0,0.45,1.2
42,Dijkstra,16,Post-congestion,0.5492235830375317,280.67862105977645,2,0.37307130401345534,8.838880768381863,0.6070786988603702,0.9848050425070196,0.0,0.45,1.2
