regime,algorithm,path_cost_change_percent,latency_change_percent,hops_change_percent,packet_loss_change_percent,bandwidth_change_percent,reliability_change_percent,congestion_change_percent
Normal,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,QT-APP,38.35917079925784,28.827279657006677,43.99999999999999,16.196783383685943,2.9476588655194798,2.7338495097134654,12.874902319009513
Normal,QT-APP without adaptation,38.45036526935737,28.4013593104731,44.99999999999999,15.940969427482083,3.729190070079729,2.6278898193412066,12.684146652799145
Normal,QT-APP without tunneling,40.53135927407355,29.778139562757072,46.0,15.539805732787078,4.55288537191025,2.4418164663430195,15.385539997164091
Congestion,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congestion,QT-APP,28.071947263315234,11.734450976705624,19.230769230769226,2.1681337215304857,-12.153715724738689,-2.7931839522117197,6.272879473941827
Congestion,QT-APP without adaptation,28.382278083134167,11.370186937464164,19.230769230769226,2.018678376843172,-11.869662738460892,-2.899534633291889,6.6267048811094815
Congestion,QT-APP without tunneling,28.41885833342022,11.030189742936237,21.15384615384615,1.9191780858180205,-10.838712402253881,-2.5198316928925864,6.6160634997983525
Post-congestion,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Post-congestion,QT-APP,24.8758424404429,19.034323513746262,23.52941176470588,-2.5590086171933724,-23.98016484949351,-2.818988530890863,0.9581721785048455
Post-congestion,QT-APP without adaptation,25.092210868283516,18.889764097454233,23.52941176470588,-2.7917190901293494,-25.50038368762978,-2.4413666758495647,1.0171076218011226
Post-congestion,QT-APP without tunneling,25.092210868283516,18.889764097454233,23.52941176470588,-2.7917190901293494,-25.50038368762978,-2.4413666758495647,1.0171076218011226
Recovery,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recovery,QT-APP,27.95682296201273,21.1888028833127,26.66666666666666,0.3063336639530678,-14.172973481745268,0.46529712507710175,-0.4907318246486229
Recovery,QT-APP without adaptation,30.026631416227055,22.872459691184837,30.000000000000004,-1.7963828886372724,-14.97411166266254,0.7773671519135368,-0.2602704811303842
Recovery,QT-APP without tunneling,30.026631416227055,22.872459691184837,30.000000000000004,-1.7963828886372724,-14.97411166266254,0.7773671519135368,-0.2602704811303842
Stable,Dijkstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stable,QT-APP,22.03168449630899,18.84743426676354,25.882352941176467,0.42935124038767436,-15.052842650412176,-2.74315189876996,-6.139953115206197
Stable,QT-APP without adaptation,22.14600801488814,19.13428193125487,25.882352941176467,0.33734070611230116,-14.974998939019915,-2.8352126515585816,-6.217152393731067
Stable,QT-APP without tunneling,24.161323506222114,21.985539657223352,27.647058823529402,0.9406772004929129,-12.591732590348718,-2.8238055502795847,-6.3428787306500745
