seed,timestep,algorithm,path,path_cost,latency,congestion,packet_loss,bandwidth,reliability,hops,tunneling_probability,action,selection_probability,energy,kappa,volatility
42,0,Dijkstra,"[0, 2, 19]",0.8228145873722966,20.91933525021747,0.11760506580628943,0.10552989272147573,81.20196007338079,0.9437207185581487,2,,,,,,0.0
42,1,Dijkstra,"[0, 2, 19]",0.8375819889551943,20.53840278254133,0.13553452370827768,0.1070892219830849,80.46449911932376,0.9452461946679384,2,,,,,,0.017947423161344518
42,2,Dijkstra,"[0, 2, 19]",0.8351595085814016,19.939867376725427,0.14495555839700539,0.10811790253831055,81.17789653721725,0.9421388325786829,2,,,,,,0.002892230737691109
42,3,Dijkstra,"[0, 2, 19]",0.8246538234806741,19.499424305527132,0.12254632649664363,0.10769984069689287,84.22990844329735,0.9397079080096806,2,,,,,,0.01257925581015355
42,4,Dijkstra,"[0, 2, 19]",0.8288814861830743,19.128213286737733,0.1117037226239545,0.10947846236648517,82.44559892317147,0.9366797685984583,2,,,,,,0.005126590797283008
42,5,Dijkstra,"[0, 2, 19]",0.8464777483593072,18.665646255383248,0.12889753448570562,0.11310205674378837,79.87598730637544,0.9371919526817675,2,,,,,,0.021228924121905673
42,6,Dijkstra,"[0, 2, 19]",0.8340485471073047,19.27771937143891,0.12506406647462956,0.11131330452459354,80.00221873204103,0.9407369840994847,2,,,,,,0.01468343530127465
42,7,Dijkstra,"[0, 2, 19]",0.8665441238842717,18.914385386136896,0.1363551090910119,0.11013761656975385,79.08689912598537,0.9350332480927928,2,,,,,,0.03896125338227619
42,8,Dijkstra,"[0, 2, 19]",0.8454774288299844,18.545914922088063,0.13714809532106667,0.10991180127860667,81.27119921392412,0.934587684420476,2,,,,,,0.02431116255206498
42,9,Dijkstra,"[0, 2, 19]",0.8536309929292862,18.73526801155043,0.1417092439170404,0.11694813655201541,81.24994567401431,0.9354110608791311,2,,,,,,0.009643739526654326
