seed,time_step,algorithm,path_cost,latency,hops,packet_loss,bandwidth,reliability,congestion,max_edge_barrier,mean_edge_potential,energy,kappa,route_changed,path
42,0,Dijkstra,0.8732118504140169,51.46159171854491,2,0.014585928563402392,68.67028550050289,0.76780751079835,0.2154193293817115,0.5796504023371737,0.43660592520700847,0.45,1.2,0,0->18->19
42,1,Dijkstra,0.915817237788986,51.470409469210175,2,0.012276703230569633,69.65450938963585,0.7671442312921917,0.23143042833728072,0.604365320465536,0.457908618894493,0.45,1.2,0,0->18->19
42,2,Dijkstra,0.9804970115671849,55.154592683215235,2,0.011597438112244222,68.32166804982407,0.7642913650802792,0.2415240927820237,0.6182792877348315,0.49024850578359247,0.45,1.2,0,0->18->19
42,3,Dijkstra,0.9370173507629704,54.496014393133194,2,0.016212020958059008,69.56307512564393,0.7731014216277947,0.22500179123564337,0.612876399977425,0.4685086753814852,0.45,1.2,0,0->18->19
42,4,Dijkstra,0.9654725224177971,56.89431113293837,2,0.014752711287628537,68.09605287354108,0.7833702778424556,0.24420868855025402,0.6195393284615986,0.48273626120889856,0.45,1.2,0,0->18->19
42,5,Dijkstra,1.025485403191488,59.26575961217675,2,0.017592114412321624,66.9111088580645,0.7898318516933167,0.2646861137348999,0.6301879558221106,0.512742701595744,0.45,1.2,0,0->18->19
42,6,Dijkstra,1.014669140764586,59.48948554212984,2,0.020048057953550955,70.65903777673134,0.7832874740127151,0.25492320953552594,0.629758053086599,0.507334570382293,0.45,1.2,0,0->18->19
42,7,Dijkstra,1.0166203786307721,61.34820342139814,2,0.020077068546085503,67.04159874914751,0.783788095308281,0.2567671462391271,0.6268821708149787,0.5083101893153861,0.45,1.2,0,0->18->19
42,8,Dijkstra,1.0004381501530784,62.772041307917206,2,0.025703849627100844,71.42632361058142,0.7931257526815004,0.26209260207257373,0.6065665935851206,0.5002190750765392,0.45,1.2,0,0->18->19
42,9,Dijkstra,0.9987861849730195,61.59849678777624,2,0.028481783422193294,69.45448468846325,0.7851171769538635,0.2567554507478428,0.6079405456632376,0.49939309248650976,0.45,1.2,0,0->18->19
42,10,Dijkstra,1.030669535139126,82.30801829327204,2,0.064788964571376,58.13144464087296,0.7378341395212793,0.4777870995254302,0.6274953555239098,0.515334767569563,0.45,1.2,0,0->18->19
42,11,Dijkstra,1.1018686939577662,100.27307987363172,2,0.09357325435040247,45.60215213807082,0.687935929125947,0.7473627929900372,0.6375783569362565,0.5509343469788831,0.45,1.2,0,0->18->19
42,12,Dijkstra,1.3049292828209724,112.04588245960123,3,0.13610314029324536,43.559265977201925,0.6940445941741383,0.8961450112197284,0.47467268698662746,0.4349764276069908,0.45,1.2,1,0->12->11->19
42,13,Dijkstra,1.4487613123955252,143.58517141425074,3,0.16869133084038546,35.483954393030416,0.65011044953786,0.9818211316316501,0.5135491190371962,0.48292043746517505,0.45,1.2,0,0->12->11->19
42,14,Dijkstra,0.9848599827877722,157.46922248386088,2,0.2208203238716997,18.262419289188625,0.5022491891593366,1.0,0.5742293438975404,0.4924299913938861,0.45,1.2,1,0->18->19
42,15,Dijkstra,1.3718739513450038,173.01210122327254,3,0.19903502006484874,21.6568489336059,0.5909256137985494,0.9671261269770732,0.5959861283750191,0.45729131711500126,0.45,1.2,1,0->12->11->19
42,16,Dijkstra,1.384976767872157,154.4075771166756,2,0.2261241889369054,18.37331565950695,0.5055453604799411,0.9835099482922343,0.8303188348636515,0.6924883839360785,0.45,1.2,1,0->18->19
42,17,Dijkstra,1.3488623747882977,150.60211131015103,2,0.2235011842161432,22.17331296227973,0.5090035919002674,0.9722515560108282,0.8155210219695065,0.6744311873941489,0.45,1.2,0,0->18->19
42,18,Dijkstra,1.1690245745094896,152.970868097104,2,0.22600008201663752,24.768121596772076,0.5046481851497779,0.9463691981033275,0.7530211850429245,0.5845122872547448,0.45,1.2,0,0->18->19
42,19,Dijkstra,1.1356989100503525,152.9646762651875,2,0.22647306457659783,27.341771580726864,0.504479422161958,0.9272664369760253,0.745309440664518,0.5678494550251763,0.45,1.2,0,0->18->19
42,20,Dijkstra,1.004422706582122,147.10446339183258,2,0.2144671901027586,34.025392858738726,0.5282967401552414,0.7862696440881519,0.6612057824098347,0.502211353291061,0.45,1.2,0,0->18->19
42,21,Dijkstra,1.03472256073711,138.9610192954751,2,0.20698162238860776,42.7708989556964,0.5492299932433329,0.6515937945516692,0.6699989745596934,0.517361280368555,0.45,1.2,0,0->18->19
42,22,Dijkstra,1.0517751101085309,130.24805946991032,2,0.20042761988329721,50.95949719305655,0.5778676090919572,0.5237474865412728,0.6768996317816848,0.5258875550542654,0.45,1.2,0,0->18->19
42,23,Dijkstra,0.9963293970543989,130.0527195758544,2,0.19788002348255443,53.434743892858975,0.5807792169535784,0.5498609792065325,0.6563871559242109,0.49816469852719947,0.45,1.2,0,0->18->19
42,24,Dijkstra,0.9772849152654746,127.66338527521441,2,0.1979495365413106,58.873253261158794,0.5763290671791084,0.5507750742521144,0.6434028285384155,0.4886424576327373,0.45,1.2,0,0->18->19
42,25,Dijkstra,0.9770377456253623,130.12064265293856,2,0.2011835196560971,57.25404890982589,0.5766534845618394,0.5452143758437232,0.6375514270749597,0.48851887281268114,0.45,1.2,0,0->18->19
42,26,Dijkstra,0.9993928978137696,133.53879522106473,2,0.19579805416357,57.64098593580521,0.5785518224014476,0.5332692574185895,0.6668411923676292,0.4996964489068848,0.45,1.2,0,0->18->19
42,27,Dijkstra,1.0101240931300357,132.69853847414768,2,0.19419093440752447,55.753257658620825,0.569477004986945,0.5286210072940787,0.6770010380533303,0.5050620465650179,0.45,1.2,0,0->18->19
42,28,Dijkstra,1.0496134448320893,132.58050653989062,2,0.19735187515383512,57.04663971964948,0.5735363122316721,0.5420659964622118,0.7156477182301472,0.5248067224160446,0.45,1.2,0,0->18->19
42,29,Dijkstra,1.0043725486540487,134.22810634482443,2,0.19457232323573298,58.544779371622944,0.5807861426666081,0.5069470586525009,0.6879671325766173,0.5021862743270243,0.45,1.2,0,0->18->19
42,30,Dijkstra,0.9751459423853482,136.01355673932076,2,0.1906188370212762,59.90080394309376,0.5859539880853663,0.5288515013588964,0.6509818858296542,0.4875729711926741,0.45,1.2,0,0->18->19
42,31,Dijkstra,0.9722272490201086,134.20690386242197,2,0.18907947149791668,61.50545786581681,0.5878358962640018,0.5375022297818733,0.6743359447762005,0.4861136245100543,0.45,1.2,0,0->18->19
42,32,Dijkstra,0.9420884209353828,134.1338843189713,2,0.19034526537008364,60.539611791515725,0.5939742774733863,0.49935134955016486,0.6514598732941478,0.4710442104676914,0.45,1.2,0,0->18->19
42,33,Dijkstra,0.9304677144108404,136.41870746682918,2,0.18815057229594356,60.927202746199654,0.5914578560570444,0.4937304684453467,0.6385504870117931,0.4652338572054202,0.45,1.2,0,0->18->19
42,34,Dijkstra,0.9591429021194771,136.68545870446027,2,0.18965503481245644,59.67837396832799,0.5937498149574018,0.5081359939396652,0.6605641766689336,0.47957145105973853,0.45,1.2,0,0->18->19
42,35,Dijkstra,0.9810222914319932,137.25891789962697,2,0.19170750313450372,57.2640040755619,0.5889656120367996,0.5160780286294699,0.6704256863139918,0.4905111457159966,0.45,1.2,0,0->18->19
42,36,Dijkstra,0.975515013856534,137.35285714795504,2,0.1933705114732887,60.7906969930838,0.5888599339429059,0.5067051421740738,0.6811177419669338,0.487757506928267,0.45,1.2,0,0->18->19
42,37,Dijkstra,0.9680530720473801,130.76811089515917,2,0.1919434163116709,59.40798852112913,0.5846233944297912,0.5213471104025091,0.694442898613858,0.48402653602369006,0.45,1.2,0,0->18->19
42,38,Dijkstra,0.965757074621276,134.37721067415566,2,0.19084503747093406,57.59780762459915,0.5847960109346644,0.5136741781948997,0.6669554509754148,0.482878537310638,0.45,1.2,0,0->18->19
42,39,Dijkstra,0.939081071804508,129.18025182021518,2,0.18596383861858448,59.07379809747693,0.5848771580231464,0.530715797128876,0.6532757302397665,0.469540535902254,0.45,1.2,0,0->18->19
43,0,Dijkstra,0.48430011911375276,16.53393621602243,1,0.04049362632730225,84.59213620069995,0.913536917446924,0.5186841176489592,0.48430011911375276,0.48430011911375276,0.45,1.2,0,0->19
43,1,Dijkstra,0.4850800422871335,18.21888448764695,1,0.04561209900349185,85.69521866516432,0.9103971046458662,0.5609657623279399,0.4850800422871335,0.4850800422871335,0.45,1.2,0,0->19
43,2,Dijkstra,0.48520035677742246,18.636119880207143,1,0.04672084036251453,86.83907882236478,0.9101603810013806,0.5699514785913523,0.48520035677742246,0.48520035677742246,0.45,1.2,0,0->19
