algorithm,regime,path_cost,path_cost,latency,latency,hops,hops,packet_loss,packet_loss,bandwidth,bandwidth,reliability,reliability,congestion,congestion,tunneling_probability,tunneling_probability,energy,energy,kappa,kappa
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
QT-APP,Stable,0.48872747599385225,0.06725886070217181,292.9963781551833,97.74679579423942,4.176470588235294,0.9780504245964119,0.5007943937281879,0.12418922623360398,12.995606304344996,3.0817238419011668,0.6820577483124847,0.03574703382742234,0.6810011134151047,0.0626727114336615,1.0,0.0,0.9965882352941176,0.00588641316456615,0.5352941176470581,0.11373097156692831
QT-APP without adaptation,Congestion,0.5204939430078896,0.10654697681415559,274.57653415174065,152.7434619176072,3.68,1.4640127503998503,0.4393857556006929,0.16433633358094138,21.68623558392423,13.291454905676819,0.7069299796424484,0.093200995195016,0.8281646729819514,0.18392150503762691,0.27152261520674925,0.21142003965347772,0.45,0.0,1.2,0.0
QT-APP without adaptation,Normal,0.4139205735845319,0.07726212201376655,160.81585598506453,61.31009379291543,4.0,1.1428571428571428,0.22356373798042795,0.08999414378141037,61.45052061544486,9.704951330406754,0.8667685804675451,0.03409113524978798,0.26498608925285594,0.0969981917995473,0.472382564887449,0.3240932621344272,0.45,0.0,1.2,0.0
QT-APP without adaptation,Post-congestion,0.5338120222831894,0.09332274199090362,341.0915533546742,201.77148072828655,3.08,1.80092568789868,0.4840036848935864,0.1950436309981532,8.346142466836028,2.188576301310013,0.6033654455533767,0.04696580504173077,0.965932145358313,0.023204821678748468,0.2962359598914156,0.26633001912741144,0.45,0.0,1.2,0.0
QT-APP without adaptation,Recovery,0.4413132477361632,0.09262104132274374,277.13362218013384,169.67588710962988,3.466666666666667,1.5976172734359606,0.44858227811140855,0.2163872595317002,12.288676131173379,4.212525945376581,0.6717498857067165,0.059564463906299873,0.7455964151782203,0.10300555605263506,0.4474292676744668,0.3497633402701869,0.45,0.0,1.2,0.0
QT-APP without adaptation,Stable,0.4803637065121891,0.06854166748122745,265.660728147743,110.2137763762652,3.623529411764706,1.194994227802709,0.44340577491730976,0.13228394848228361,13.106002618518032,3.2571833652719877,0.6916080235347107,0.045582238383432415,0.6640277672278488,0.08120257542214329,0.3397145904597605,0.30092021547767545,0.45,0.0,1.2,0.0
QT-APP without tunneling,Congestion,0.5361124893229924,0.11645699049566845,315.4964662043126,155.18638855340822,4.0,1.2247448713915894,0.4731198152502493,0.15163151905895297,19.89237073096831,11.934576508495246,0.6939151030374269,0.10395069500767525,0.8205249627644292,0.19693353948949424,1.0,0.0,0.8308000000000003,0.08606780272939862,0.9467999999999998,0.06401301950905512
QT-APP without tunneling,Normal,0.4494359268716789,0.09193598219584737,157.98792208883452,57.47399214638199,3.96,1.0872170051680259,0.2220775142493853,0.0766395921672403,56.613022255016695,11.773678594543505,0.8613361871071886,0.04399455291977083,0.3170077065944528,0.12117750340444514,1.0,0.0,0.6038,0.09967068223885701,1.0997999999999999,0.06935534056802069
QT-APP without tunneling,Post-congestion,0.57106334288112,0.07522389224070337,421.4203304266952,180.18608068218995,3.92,1.4696938456699071,0.5814411594692741,0.14739598806562412,8.055030016478034,2.2922720220038655,0.5962273537179993,0.05198515859102705,0.9817462110420289,0.018838631001551615,1.0,0.0,0.9548000000000002,0.048744230427815616,0.8399999999999995,0.06861729616746305
QT-APP without tunneling,Recovery,0.4678105201523665,0.08567519528310168,317.62638992638045,167.03921898648287,3.8666666666666667,1.505545305418162,0.49264072426616007,0.1901044607997591,11.210370995794584,3.301151397705853,0.6668722346573148,0.05540212193458462,0.7558959918343665,0.09152831499800478,1.0,0.0,0.9966666666666667,0.006172133998483605,0.7639999999999996,0.06208289389425821
QT-APP without tunneling,Stable,0.48872747599385225,0.06725886070217181,292.9963781551833,97.74679579423942,4.176470588235294,0.9780504245964119,0.5007943937281879,0.12418922623360398,12.995606304344996,3.0817238419011668,0.6820577483124847,0.03574703382742234,0.6810011134151047,0.0626727114336615,1.0,0.0,0.9965882352941176,0.00588641316456615,0.5712941176470582,0.10694667379780723
