seed,time_step,algorithm,energy,kappa,route_changed,candidate_count,selected_index,selected_rank,best_candidate_cost,selected_base_cost,mean_candidate_cost,selected_tunneling_probability,mean_tunneling_probability,std_tunneling_probability,selection_probability,selected_thermal_weight,selected_final_score,candidate_cost_std
42,32,Dijkstra,0.45,1.2,0,1,0,1,0.9420884209353828,0.9420884209353828,0.9420884209353828,0.0,0.0,0.0,1.0,1.0,1.0,0.0
42,33,Dijkstra,0.45,1.2,0,1,0,1,0.9304677144108404,0.9304677144108404,0.9304677144108404,0.0,0.0,0.0,1.0,1.0,1.0,0.0
42,34,Dijkstra,0.45,1.2,0,1,0,1,0.9591429021194771,0.9591429021194771,0.9591429021194771,0.0,0.0,0.0,1.0,1.0,1.0,0.0
42,35,Dijkstra,0.45,1.2,0,1,0,1,0.9810222914319932,0.9810222914319932,0.9810222914319932,0.0,0.0,0.0,1.0,1.0,1.0,0.0
42,36,Dijkstra,0.45,1.2,0,1,0,1,0.975515013856534,0.975515013856534,0.975515013856534,0.0,0.0,0.0,1.0,1.0,1.0,0.0
42,37,Dijkstra,0.45,1.2,0,1,0,1,0.9680530720473801,0.9680530720473801,0.9680530720473801,0.0,0.0,0.0,1.0,1.0,1.0,0.0
42,38,Dijkstra,0.45,1.2,0,1,0,1,0.965757074621276,0.965757074621276,0.965757074621276,0.0,0.0,0.0,1.0,1.0,1.0,0.0
42,39,Dijkstra,0.45,1.2,0,1,0,1,0.939081071804508,0.939081071804508,0.939081071804508,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,0,Dijkstra,0.45,1.2,0,1,0,1,0.48430011911375276,0.48430011911375276,0.48430011911375276,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,1,Dijkstra,0.45,1.2,0,1,0,1,0.4850800422871335,0.4850800422871335,0.4850800422871335,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,2,Dijkstra,0.45,1.2,0,1,0,1,0.48520035677742246,0.48520035677742246,0.48520035677742246,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,3,Dijkstra,0.45,1.2,0,1,0,1,0.48674186434162264,0.48674186434162264,0.48674186434162264,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,4,Dijkstra,0.45,1.2,0,1,0,1,0.47704580280227576,0.47704580280227576,0.47704580280227576,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,5,Dijkstra,0.45,1.2,0,1,0,1,0.4454873682303372,0.4454873682303372,0.4454873682303372,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,6,Dijkstra,0.45,1.2,0,1,0,1,0.4622785753416544,0.4622785753416544,0.4622785753416544,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,7,Dijkstra,0.45,1.2,0,1,0,1,0.4667192043262648,0.4667192043262648,0.4667192043262648,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,8,Dijkstra,0.45,1.2,0,1,0,1,0.4458073185575312,0.4458073185575312,0.4458073185575312,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,9,Dijkstra,0.45,1.2,0,1,0,1,0.44100537718862176,0.44100537718862176,0.44100537718862176,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,10,Dijkstra,0.45,1.2,0,1,0,1,0.46983441166764445,0.46983441166764445,0.46983441166764445,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,11,Dijkstra,0.45,1.2,0,1,0,1,0.4241445110266768,0.4241445110266768,0.4241445110266768,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,12,Dijkstra,0.45,1.2,0,1,0,1,0.46089503601813486,0.46089503601813486,0.46089503601813486,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,13,Dijkstra,0.45,1.2,0,1,0,1,0.482836013786112,0.482836013786112,0.482836013786112,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,14,Dijkstra,0.45,1.2,0,1,0,1,0.2543566251552326,0.2543566251552326,0.2543566251552326,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,15,Dijkstra,0.45,1.2,0,1,0,1,0.4502901472443436,0.4502901472443436,0.4502901472443436,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,16,Dijkstra,0.45,1.2,0,1,0,1,0.41298886109047467,0.41298886109047467,0.41298886109047467,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,17,Dijkstra,0.45,1.2,0,1,0,1,0.47576962444018706,0.47576962444018706,0.47576962444018706,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,18,Dijkstra,0.45,1.2,0,1,0,1,0.4962935763807828,0.4962935763807828,0.4962935763807828,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,19,Dijkstra,0.45,1.2,0,1,0,1,0.5293443476326787,0.5293443476326787,0.5293443476326787,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,20,Dijkstra,0.45,1.2,0,1,0,1,0.5071763900078832,0.5071763900078832,0.5071763900078832,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,21,Dijkstra,0.45,1.2,0,1,0,1,0.5546180327953959,0.5546180327953959,0.5546180327953959,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,22,Dijkstra,0.45,1.2,0,1,0,1,0.5651950371182708,0.5651950371182708,0.5651950371182708,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,23,Dijkstra,0.45,1.2,0,1,0,1,0.5729871073297209,0.5729871073297209,0.5729871073297209,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,24,Dijkstra,0.45,1.2,0,1,0,1,0.55576759785692,0.55576759785692,0.55576759785692,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,25,Dijkstra,0.45,1.2,0,1,0,1,0.5674245703509301,0.5674245703509301,0.5674245703509301,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,26,Dijkstra,0.45,1.2,0,1,0,1,0.5355440290179871,0.5355440290179871,0.5355440290179871,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,27,Dijkstra,0.45,1.2,0,1,0,1,0.5269821582905518,0.5269821582905518,0.5269821582905518,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,28,Dijkstra,0.45,1.2,0,1,0,1,0.5585795028117726,0.5585795028117726,0.5585795028117726,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,29,Dijkstra,0.45,1.2,0,1,0,1,0.5571115068391577,0.5571115068391577,0.5571115068391577,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,30,Dijkstra,0.45,1.2,0,1,0,1,0.5401413845948138,0.5401413845948138,0.5401413845948138,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,31,Dijkstra,0.45,1.2,0,1,0,1,0.5359832878786474,0.5359832878786474,0.5359832878786474,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,32,Dijkstra,0.45,1.2,0,1,0,1,0.5191054191112937,0.5191054191112937,0.5191054191112937,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,33,Dijkstra,0.45,1.2,0,1,0,1,0.5088690927176327,0.5088690927176327,0.5088690927176327,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,34,Dijkstra,0.45,1.2,0,1,0,1,0.5330494562460308,0.5330494562460308,0.5330494562460308,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,35,Dijkstra,0.45,1.2,0,1,0,1,0.5556793221365598,0.5556793221365598,0.5556793221365598,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,36,Dijkstra,0.45,1.2,0,1,0,1,0.5546673860673369,0.5546673860673369,0.5546673860673369,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,37,Dijkstra,0.45,1.2,0,1,0,1,0.5730577691325921,0.5730577691325921,0.5730577691325921,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,38,Dijkstra,0.45,1.2,0,1,0,1,0.5890903529716032,0.5890903529716032,0.5890903529716032,0.0,0.0,0.0,1.0,1.0,1.0,0.0
43,39,Dijkstra,0.45,1.2,0,1,0,1,0.6293339122937811,0.6293339122937811,0.6293339122937811,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,0,Dijkstra,0.45,1.2,0,1,0,1,1.6122910811198188,1.6122910811198188,1.6122910811198188,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,1,Dijkstra,0.45,1.2,0,1,0,1,1.6795702873727052,1.6795702873727052,1.6795702873727052,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,2,Dijkstra,0.45,1.2,0,1,0,1,1.6412003979337357,1.6412003979337357,1.6412003979337357,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,3,Dijkstra,0.45,1.2,0,1,0,1,1.5975281635694076,1.5975281635694076,1.5975281635694076,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,4,Dijkstra,0.45,1.2,0,1,0,1,1.6454813668822472,1.6454813668822472,1.6454813668822472,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,5,Dijkstra,0.45,1.2,0,1,0,1,1.6543559716163962,1.6543559716163962,1.6543559716163962,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,6,Dijkstra,0.45,1.2,0,1,0,1,1.60852502695735,1.60852502695735,1.60852502695735,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,7,Dijkstra,0.45,1.2,0,1,0,1,1.6355949395483023,1.6355949395483023,1.6355949395483023,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,8,Dijkstra,0.45,1.2,0,1,0,1,1.653831189445148,1.653831189445148,1.653831189445148,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,9,Dijkstra,0.45,1.2,1,1,0,1,1.613283026730996,1.613283026730996,1.613283026730996,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,10,Dijkstra,0.45,1.2,1,1,0,1,1.7183141595308973,1.7183141595308973,1.7183141595308973,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,11,Dijkstra,0.45,1.2,0,1,0,1,1.7737373992660577,1.7737373992660577,1.7737373992660577,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,12,Dijkstra,0.45,1.2,0,1,0,1,1.9198706090928894,1.9198706090928894,1.9198706090928894,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,13,Dijkstra,0.45,1.2,0,1,0,1,1.8772561346159422,1.8772561346159422,1.8772561346159422,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,14,Dijkstra,0.45,1.2,1,1,0,1,1.30830666830298,1.30830666830298,1.30830666830298,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,15,Dijkstra,0.45,1.2,0,1,0,1,1.9348869370093729,1.9348869370093729,1.9348869370093729,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,16,Dijkstra,0.45,1.2,0,1,0,1,1.9042638215500813,1.9042638215500813,1.9042638215500813,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,17,Dijkstra,0.45,1.2,0,1,0,1,1.8983138131713044,1.8983138131713044,1.8983138131713044,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,18,Dijkstra,0.45,1.2,0,1,0,1,1.9278529824215487,1.9278529824215487,1.9278529824215487,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,19,Dijkstra,0.45,1.2,0,1,0,1,1.8735714239352665,1.8735714239352665,1.8735714239352665,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,20,Dijkstra,0.45,1.2,0,1,0,1,1.7530438540587525,1.7530438540587525,1.7530438540587525,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,21,Dijkstra,0.45,1.2,0,1,0,1,1.7089471813671646,1.7089471813671646,1.7089471813671646,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,22,Dijkstra,0.45,1.2,0,1,0,1,1.763133792103198,1.763133792103198,1.763133792103198,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,23,Dijkstra,0.45,1.2,1,1,0,1,1.7127551296240702,1.7127551296240702,1.7127551296240702,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,24,Dijkstra,0.45,1.2,0,1,0,1,1.6331026246727904,1.6331026246727904,1.6331026246727904,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,25,Dijkstra,0.45,1.2,1,1,0,1,1.601366447680852,1.601366447680852,1.601366447680852,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,26,Dijkstra,0.45,1.2,0,1,0,1,1.6146956241196238,1.6146956241196238,1.6146956241196238,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,27,Dijkstra,0.45,1.2,0,1,0,1,1.5846555436766412,1.5846555436766412,1.5846555436766412,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,28,Dijkstra,0.45,1.2,0,1,0,1,1.6623532384164181,1.6623532384164181,1.6623532384164181,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,29,Dijkstra,0.45,1.2,0,1,0,1,1.6283819097539016,1.6283819097539016,1.6283819097539016,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,30,Dijkstra,0.45,1.2,0,1,0,1,1.599972095562698,1.599972095562698,1.599972095562698,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,31,Dijkstra,0.45,1.2,0,1,0,1,1.6165043975713054,1.6165043975713054,1.6165043975713054,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,32,Dijkstra,0.45,1.2,0,1,0,1,1.5809771019286285,1.5809771019286285,1.5809771019286285,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,33,Dijkstra,0.45,1.2,0,1,0,1,1.5688897029388853,1.5688897029388853,1.5688897029388853,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,34,Dijkstra,0.45,1.2,0,1,0,1,1.625242461003312,1.625242461003312,1.625242461003312,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,35,Dijkstra,0.45,1.2,0,1,0,1,1.6405322205411617,1.6405322205411617,1.6405322205411617,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,36,Dijkstra,0.45,1.2,0,1,0,1,1.6220317309490913,1.6220317309490913,1.6220317309490913,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,37,Dijkstra,0.45,1.2,0,1,0,1,1.5454511819903773,1.5454511819903773,1.5454511819903773,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,38,Dijkstra,0.45,1.2,0,1,0,1,1.6165225712912277,1.6165225712912277,1.6165225712912277,0.0,0.0,0.0,1.0,1.0,1.0,0.0
44,39,Dijkstra,0.45,1.2,0,1,0,1,1.6257636094670214,1.6257636094670214,1.6257636094670214,0.0,0.0,0.0,1.0,1.0,1.0,0.0
45,0,Dijkstra,0.45,1.2,0,1,0,1,1.3698306374018614,1.3698306374018614,1.3698306374018614,0.0,0.0,0.0,1.0,1.0,1.0,0.0
45,1,Dijkstra,0.45,1.2,0,1,0,1,1.3999327104639323,1.3999327104639323,1.3999327104639323,0.0,0.0,0.0,1.0,1.0,1.0,0.0
