time,algorithm,path,path_cost,latency,hops,packet_loss,bandwidth,tunneling_probability,barrier_height,barrier_width,energy,kappa,volatility
1,Dijkstra,0->9->18->13->19,0.5474385839193128,52.10022745211444,4,0.053332508707559345,29.215751039323973,,,,0.45,1.2,0.0
1,QT-APP,0->16->8->13->19,0.5963583307831242,61.8300525366182,4,0.06138981043199876,57.754860166910234,1.0,0.0,0.0,0.45,1.2,0.0
2,Dijkstra,0->9->18->13->19,0.541312969627554,51.768073520924624,4,0.049029159367288355,30.0061005063813,,,,0.4511357403824825,1.1932240363826572,0.0056787019124124195
2,QT-APP,0->3->11->8->13->19,1.036460936408392,100.9620776882482,5,0.07022538381124055,20.491045381803968,1.0,0.0,0.0,0.4511357403824825,1.1932240363826572,0.0056787019124124195
3,Dijkstra,0->9->18->13->19,0.5194878444378273,47.51565429801293,4,0.046337166754525705,31.82523915166846,,,,0.49109263503098466,0.9192139792511513,0.005463175154923447
3,QT-APP,0->1->11->8->13->19,0.9842199517389071,104.57554931024124,5,0.041194984106046606,33.32480004008753,1.0,0.0,0.0,0.49109263503098466,0.9192139792511513,0.005463175154923447
4,Dijkstra,0->9->18->13->19,0.5142516086135199,49.71491949022634,4,0.03422587705633007,29.385794419910805,,,,0.5309787779173397,0.747712984507051,0.004893889586698233
4,QT-APP,0->3->6->11->8->13->19,0.9752237234761614,95.9158071129348,6,0.04077669021112429,26.18151404270111,1.0,0.0,0.0,0.5309787779173397,0.747712984507051,0.004893889586698233
5,Dijkstra,0->9->18->13->19,0.5236706056436129,55.14015050658884,4,0.0192993384540604,29.371930557985216,,,,0.5707825478425529,0.6302809867726289,0.0039127392127643185
5,QT-APP,0->9->18->13->19,0.5236706056436129,55.14015050658884,4,0.0192993384540604,29.371930557985216,1.0,0.0,0.0,0.5707825478425529,0.6302809867726289,0.0039127392127643185
6,Dijkstra,0->9->18->13->19,0.5285065759348463,58.16745506657007,4,0.022984562303473233,29.364639607036708,,,,0.45099468432228046,1.1940614290832554,0.004973421611402341
6,QT-APP,0->9->18->13->19,0.5285065759348463,58.16745506657007,4,0.022984562303473233,29.364639607036708,1.0,0.0,0.0,0.45099468432228046,1.1940614290832554,0.004973421611402341
7,Dijkstra,0->9->18->13->19,0.5244787317374133,53.22264481831441,4,0.03503226850393981,27.562185555172036,,,,0.49118688506912966,0.9188822782448589,0.005934425345648259
